<s>	sil #1
從頭	CH_ts CH_o CH_N# CH_t CH_o CH_u #1
來自	CH_l CH_a CH_i CH_dz CH_U
打開	CH_d CH_a CH_k CH_a CH_i
三次	CH_s CH_a CH_n# CH_ts CH_U
體育	CH_t CH_i CH_# CH_y
超過	CH_tsc CH_a CH_u CH_g CH_u CH_o
國語	CH_g CH_u CH_o CH_# CH_y
飛機	CH_f CH_e CH_i CH_dzi CH_i
完了	CH_# CH_u CH_a CH_n# CH_l CH_i CH_a CH_u
完了	CH_# CH_u CH_a CH_n# CH_l CH_@
串聯	CH_tsc CH_u CH_a CH_n# CH_l CH_i CH_E CH_n#
下課	CH_si CH_i CH_a CH_k CH_@
一週	CH_# CH_i CH_dzc CH_o CH_u
瞭解	CH_l CH_i CH_a CH_u CH_dzi CH_i CH_E #2
錯的	CH_ts CH_u CH_o CH_d CH_@
錯了	CH_ts CH_u CH_o CH_l CH_@
認為	CH_Zc CH_@ CH_n# CH_# CH_u CH_e CH_i
想要	CH_si CH_i CH_a CH_N# CH_# CH_i CH_a CH_u
結構	CH_dzi CH_i CH_E CH_g CH_o CH_u
無法	CH_# CH_u CH_f CH_a
測試	CH_ts CH_@ CH_sc CH_Uc
接觸	CH_dzi CH_i CH_E CH_tsc CH_u
做成	CH_dz CH_u CH_o CH_tsc CH_@ CH_N#
信箱	CH_si CH_i CH_n# CH_si CH_i CH_a CH_N#
否則	CH_f CH_o CH_u CH_dz CH_@
老師	CH_l CH_a CH_u CH_sc CH_Uc #2
各自	CH_g CH_@ CH_dz CH_U #1
光是	CH_g CH_u CH_a CH_N# CH_sc CH_Uc
不夠	CH_b CH_u CH_g CH_o CH_u
三月	CH_s CH_a CH_n# CH_# CH_y CH_E
一天	CH_# CH_i CH_t CH_i CH_E CH_n#
增加	CH_dz CH_@ CH_N# CH_dzi CH_i CH_a
跑出	CH_p CH_a CH_u CH_tsc CH_u
針對	CH_dzc CH_@ CH_n# CH_d CH_u CH_e CH_i
破壞	CH_p CH_u CH_o CH_h CH_u CH_a CH_i
計算	CH_dzi CH_i CH_s CH_u CH_a CH_n#
投影	CH_t CH_o CH_u CH_# CH_i CH_N#
台北	CH_t CH_a CH_i CH_b CH_e CH_i #1
功夫	CH_g CH_o CH_N# CH_f CH_u #2
也好	CH_# CH_i CH_E CH_h CH_a CH_u
空間	CH_k CH_o CH_N# CH_dzi CH_i CH_E CH_n#
明天	CH_m CH_i CH_N# CH_t CH_i CH_E CH_n#
更好	CH_g CH_@ CH_N# CH_h CH_a CH_u
形狀	CH_si CH_i CH_N# CH_dzc CH_u CH_a CH_N#
之內	CH_dzc CH_Uc CH_n CH_e CH_i
一群	CH_# CH_i CH_tsi CH_y CH_n#
一般	CH_# CH_i CH_b CH_a CH_n# #2
一律	CH_# CH_i CH_l CH_y
學習	CH_si CH_y CH_E CH_si CH_i #1
等到	CH_d CH_@ CH_N# CH_d CH_a CH_u
習慣	CH_si CH_i CH_g CH_u CH_a CH_n#
理由	CH_l CH_i CH_# CH_i CH_o CH_u
使得	CH_sc CH_Uc CH_d CH_@
回答	CH_h CH_u CH_e CH_i CH_d CH_a #1
左右	CH_dz CH_u CH_o CH_# CH_i CH_o CH_u
確實	CH_tsi CH_y CH_E CH_sc CH_Uc
滿足	CH_m CH_a CH_n# CH_dz CH_u
會了	CH_h CH_u CH_e CH_i CH_l CH_@
黑板	CH_h CH_e CH_i CH_b CH_a CH_n#
最近	CH_dz CH_u CH_e CH_i CH_dzi CH_i CH_n#
培養	CH_p CH_e CH_i CH_# CH_i CH_a CH_N#
重複	CH_tsc CH_o CH_N# CH_f CH_u #1
若干	CH_Zc CH_u CH_o CH_g CH_a CH_n#
看法	CH_k CH_a CH_n# CH_f CH_a
姑且	CH_g CH_u CH_tsi CH_i CH_E
到來	CH_d CH_a CH_u CH_l CH_a CH_i
決定	CH_dzi CH_y CH_E CH_d CH_i CH_N#
每天	CH_m CH_e CH_i CH_t CH_i CH_E CH_n#
找出	CH_dzc CH_a CH_u CH_tsc CH_u #1
別人	CH_b CH_i CH_E CH_Zc CH_@ CH_n#
作為	CH_dz CH_u CH_o CH_# CH_u CH_e CH_i #2
有限	CH_# CH_i CH_o CH_u CH_si CH_i CH_E CH_n# #3
成分	CH_tsc CH_@ CH_N# CH_f CH_@ CH_n# #2
在下	CH_dz CH_a CH_i CH_si CH_i CH_a #1
只好	CH_dzc CH_Uc CH_h CH_a CH_u
反正	CH_f CH_a CH_n# CH_dzc CH_@ CH_N#
干擾	CH_g CH_a CH_n# CH_Zc CH_a CH_u
大學	CH_d CH_a CH_si CH_y CH_E #1
一隻	CH_# CH_i CH_dzc CH_Uc #3
一位	CH_# CH_i CH_# CH_u CH_e CH_i #2
瀏覽	CH_l CH_i CH_o CH_u CH_l CH_a CH_n#
課程	CH_k CH_@ CH_tsc CH_@ CH_N#
麻煩	CH_m CH_a CH_f CH_a CH_n#
造成	CH_dz CH_a CH_u CH_tsc CH_@ CH_N#
旁邊	CH_p CH_a CH_N# CH_b CH_i CH_E CH_n#
很有	CH_h CH_@ CH_n# CH_# CH_i CH_o CH_u
兩週	CH_l CH_i CH_a CH_N# CH_dzc CH_o CH_u
少了	CH_sc CH_a CH_u CH_l CH_@
公司	CH_g CH_o CH_N# CH_s CH_U
大致	CH_d CH_a CH_dzc CH_Uc
一再	CH_# CH_i CH_dz CH_a CH_i #1
還在	CH_h CH_a CH_i CH_dz CH_a CH_i
學校	CH_si CH_y CH_E CH_si CH_i CH_a CH_u
銜接	CH_si CH_i CH_E CH_n# CH_dzi CH_i CH_E #1
準備	CH_dzc CH_u CH_@ CH_n# CH_b CH_e CH_i #1
順序	CH_sc CH_u CH_@ CH_n# CH_si CH_y
開了	CH_k CH_a CH_i CH_l CH_@
帶著	CH_d CH_a CH_i CH_dzc CH_@
高低	CH_g CH_a CH_u CH_d CH_i #1
送到	CH_s CH_o CH_N# CH_d CH_a CH_u
時代	CH_sc CH_Uc CH_d CH_a CH_i #2
原始	CH_# CH_y CH_E CH_n# CH_sc CH_Uc #1
困難	CH_k CH_u CH_@ CH_n# CH_n CH_a CH_n# #1
收到	CH_sc CH_o CH_u CH_d CH_a CH_u #2
好看	CH_h CH_a CH_u CH_k CH_a CH_n#
先做	CH_si CH_i CH_E CH_n# CH_dz CH_u CH_o
平的	CH_p CH_i CH_N# CH_d CH_@
布希	CH_b CH_u CH_si CH_i #1
少數	CH_sc CH_a CH_u CH_sc CH_u
互動	CH_h CH_u CH_d CH_o CH_N#
之中	CH_dzc CH_Uc CH_dzc CH_o CH_N#
不看	CH_b CH_u CH_k CH_a CH_n#
縮小	CH_s CH_u CH_o CH_si CH_i CH_a CH_u
操作	CH_ts CH_a CH_u CH_dz CH_u CH_o #1
靠近	CH_k CH_a CH_u CH_dzi CH_i CH_n#
趕快	CH_g CH_a CH_n# CH_k CH_u CH_a CH_i
稱為	CH_tsc CH_@ CH_N# CH_# CH_u CH_e CH_i #2
幾次	CH_dzi CH_i CH_ts CH_U
統一	CH_t CH_o CH_N# CH_# CH_i #3
做過	CH_dz CH_u CH_o CH_g CH_u CH_o
紐約	CH_n CH_i CH_o CH_u CH_# CH_y CH_E
差別	CH_tsc CH_a CH_b CH_i CH_E
相連	CH_si CH_i CH_a CH_N# CH_l CH_i CH_E CH_n#
使用	CH_sc CH_Uc CH_# CH_y CH_o CH_N# #2
沒錯	CH_m CH_e CH_i CH_ts CH_u CH_o
估計	CH_g CH_u CH_dzi CH_i
向前	CH_si CH_i CH_a CH_N# CH_tsi CH_i CH_E CH_n#
不算	CH_b CH_u CH_s CH_u CH_a CH_n#
也算	CH_# CH_i CH_E CH_s CH_u CH_a CH_n#
難看	CH_n CH_a CH_n# CH_k CH_a CH_n#
關鍵	CH_g CH_u CH_a CH_n# CH_dzi CH_i CH_E CH_n#
頻率	CH_p CH_i CH_n# CH_l CH_y
錄音	CH_l CH_u CH_# CH_i CH_n# #1
滿了	CH_m CH_a CH_n# CH_l CH_@
電腦	CH_d CH_i CH_E CH_n# CH_n CH_a CH_u
透過	CH_t CH_o CH_u CH_g CH_u CH_o
參考	CH_ts CH_a CH_n# CH_k CH_a CH_u
限於	CH_si CH_i CH_E CH_n# CH_# CH_y
重覆	CH_tsc CH_o CH_N# CH_f CH_u #2
某個	CH_m CH_o CH_u CH_g CH_@
往下	CH_# CH_u CH_a CH_N# CH_si CH_i CH_a
走向	CH_dz CH_o CH_u CH_si CH_i CH_a CH_N#
加分	CH_dzi CH_i CH_a CH_f CH_@ CH_n#
文法	CH_# CH_u CH_@ CH_n# CH_f CH_a
六十	CH_l CH_i CH_o CH_u CH_sc CH_Uc #1
中央	CH_dzc CH_o CH_N# CH_# CH_i CH_a CH_N#
不錯	CH_b CH_u CH_ts CH_u CH_o
才對	CH_ts CH_a CH_i CH_d CH_u CH_e CH_i
大大	CH_d CH_a CH_d CH_a #2
上看	CH_sc CH_a CH_N# CH_k CH_a CH_n#
鐵定	CH_t CH_i CH_E CH_d CH_i CH_N#
電影	CH_d CH_i CH_E CH_n# CH_# CH_i CH_N#
當初	CH_d CH_a CH_N# CH_tsc CH_u
無線	CH_# CH_u CH_si CH_i CH_E CH_n# #2
朝陽	CH_dzc CH_a CH_u CH_# CH_i CH_a CH_N# #2
朝陽	CH_tsc CH_a CH_u CH_# CH_i CH_a CH_N#
單純	CH_d CH_a CH_n# CH_tsc CH_u CH_@ CH_n#
軟體	CH_Zc CH_u CH_a CH_n# CH_t CH_i
做完	CH_dz CH_u CH_o CH_# CH_u CH_a CH_n#
停課	CH_t CH_i CH_N# CH_k CH_@
值得	CH_dzc CH_Uc CH_d CH_@
看過	CH_k CH_a CH_n# CH_g CH_u CH_o
是誰	CH_sc CH_Uc CH_sc CH_e CH_i
前後	CH_tsi CH_i CH_E CH_n# CH_h CH_o CH_u
來到	CH_l CH_a CH_i CH_d CH_a CH_u
你們	CH_n CH_i CH_m CH_@ CH_n#
成熟	CH_tsc CH_@ CH_N# CH_sc CH_u
共用	CH_g CH_o CH_N# CH_# CH_y CH_o CH_N#
只會	CH_dzc CH_Uc CH_h CH_u CH_e CH_i #2
日常	CH_Zc CH_Uc CH_tsc CH_a CH_N#
反而	CH_f CH_a CH_n# CH_# CH_@c
中心	CH_dzc CH_o CH_N# CH_si CH_i CH_n# #1
下載	CH_si CH_i CH_a CH_dz CH_a CH_i
三年	CH_s CH_a CH_n# CH_n CH_i CH_E CH_n#
顯示	CH_si CH_i CH_E CH_n# CH_sc CH_Uc #1
機器	CH_dzi CH_i CH_tsi CH_i #1
學生	CH_si CH_y CH_E CH_sc CH_@ CH_N# #1
厲害	CH_l CH_i CH_h CH_a CH_i
減少	CH_dzi CH_i CH_E CH_n# CH_sc CH_a CH_u
換成	CH_h CH_u CH_a CH_n# CH_tsc CH_@ CH_N#
提高	CH_t CH_i CH_g CH_a CH_u
提供	CH_t CH_i CH_g CH_o CH_N# #1
報告	CH_b CH_a CH_u CH_g CH_a CH_u
單獨	CH_d CH_a CH_n# CH_d CH_u
最新	CH_dz CH_u CH_e CH_i CH_si CH_i CH_n#
降低	CH_dzi CH_i CH_a CH_N# CH_d CH_i
限制	CH_si CH_i CH_E CH_n# CH_dzc CH_Uc
早就	CH_dz CH_a CH_u CH_dzi CH_i CH_o CH_u
成立	CH_tsc CH_@ CH_N# CH_l CH_i
在學	CH_dz CH_a CH_i CH_si CH_y CH_E
地區	CH_d CH_i CH_tsi CH_y
只在	CH_dzc CH_Uc CH_dz CH_a CH_i
分類	CH_f CH_@ CH_n# CH_l CH_e CH_i
又會	CH_# CH_i CH_o CH_u CH_h CH_u CH_e CH_i
八十	CH_b CH_a CH_sc CH_Uc #2
一旦	CH_# CH_i CH_d CH_a CH_n#
錯誤	CH_ts CH_u CH_o CH_# CH_u
整理	CH_dzc CH_@ CH_N# CH_l CH_i #1
學會	CH_si CH_y CH_E CH_h CH_u CH_e CH_i
說好	CH_sc CH_u CH_o CH_h CH_a CH_u
維持	CH_# CH_u CH_e CH_i CH_tsc CH_Uc
電波	CH_d CH_i CH_E CH_n# CH_b CH_u CH_o
達到	CH_d CH_a CH_d CH_a CH_u #2
進步	CH_dzi CH_i CH_n# CH_b CH_u
程序	CH_tsc CH_@ CH_N# CH_si CH_y
提過	CH_t CH_i CH_g CH_u CH_o
最最	CH_dz CH_u CH_e CH_i CH_dz CH_u CH_e CH_i
拿到	CH_n CH_a CH_d CH_a CH_u
拿去	CH_n CH_a CH_tsi CH_y
倒是	CH_d CH_a CH_u CH_sc CH_Uc
明明	CH_m CH_i CH_N# CH_m CH_i CH_N#
車上	CH_tsc CH_@ CH_sc CH_a CH_N#
完成	CH_# CH_u CH_a CH_n# CH_tsc CH_@ CH_N#
向外	CH_si CH_i CH_a CH_N# CH_# CH_u CH_a CH_i
向內	CH_si CH_i CH_a CH_N# CH_n CH_e CH_i
文獻	CH_# CH_u CH_@ CH_n# CH_si CH_i CH_E CH_n# #1
中東	CH_dzc CH_o CH_N# CH_d CH_o CH_N#
不如	CH_b CH_u CH_Zc CH_u #2
不必	CH_b CH_u CH_b CH_i #1
口音	CH_k CH_o CH_u CH_# CH_i CH_n#
適合	CH_sc CH_Uc CH_h CH_@
寫了	CH_si CH_i CH_E CH_l CH_@
解套	CH_dzi CH_i CH_E CH_t CH_a CH_u
幾十	CH_dzi CH_i CH_sc CH_Uc #4
畢業	CH_b CH_i CH_# CH_i CH_E
排除	CH_p CH_a CH_i CH_tsc CH_u
紅色	CH_h CH_o CH_N# CH_s CH_@
為主	CH_# CH_u CH_e CH_i CH_dzc CH_u #1
兩套	CH_l CH_i CH_a CH_N# CH_t CH_a CH_u
忘了	CH_# CH_u CH_a CH_N# CH_l CH_@
冷氣	CH_l CH_@ CH_N# CH_tsi CH_i
考試	CH_k CH_a CH_u CH_sc CH_Uc
尖銳	CH_dzi CH_i CH_E CH_n# CH_Zc CH_u CH_e CH_i
暴動	CH_b CH_a CH_u CH_d CH_o CH_N#
想了	CH_si CH_i CH_a CH_N# CH_l CH_@
汽車	CH_tsi CH_i CH_tsc CH_@
考完	CH_k CH_a CH_u CH_# CH_u CH_a CH_n#
好好	CH_h CH_a CH_u CH_h CH_a CH_u
平移	CH_p CH_i CH_N# CH_# CH_i
不然	CH_b CH_u CH_Zc CH_a CH_n#
拿來做	CH_n CH_a CH_l CH_a CH_i CH_dz CH_u CH_o
儘可能	CH_dzi CH_i CH_n# CH_k CH_@ CH_n CH_@ CH_N#
數位化	CH_sc CH_u CH_# CH_u CH_e CH_i CH_h CH_u CH_a
打電話	CH_d CH_a CH_d CH_i CH_E CH_n# CH_h CH_u CH_a
傳送到	CH_tsc CH_u CH_a CH_n# CH_s CH_o CH_N# CH_d CH_a CH_u
博物館	CH_b CH_u CH_o CH_# CH_u CH_g CH_u CH_a CH_n#
做生意	CH_dz CH_u CH_o CH_sc CH_@ CH_N# CH_# CH_i
全球性	CH_tsi CH_y CH_E CH_n# CH_tsi CH_i CH_o CH_u CH_si CH_i CH_N#
愈來愈	CH_# CH_y CH_l CH_a CH_i CH_# CH_y
錄影帶	CH_l CH_u CH_# CH_i CH_N# CH_d CH_a CH_i
呂秀蓮	CH_l CH_y CH_si CH_i CH_o CH_u CH_l CH_i CH_E CH_n#
副總統	CH_f CH_u CH_dz CH_o CH_N# CH_t CH_o CH_N#
一方面	CH_# CH_i CH_f CH_a CH_N# CH_m CH_i CH_E CH_n#
辦公桌	CH_b CH_a CH_n# CH_g CH_o CH_N# CH_dzc CH_u CH_o
辦公室	CH_b CH_a CH_n# CH_g CH_o CH_N# CH_sc CH_Uc
用語音	CH_# CH_y CH_o CH_N# CH_# CH_y CH_# CH_i CH_n#
找出來	CH_dzc CH_a CH_u CH_tsc CH_u CH_l CH_a CH_i
八十五	CH_b CH_a CH_sc CH_Uc CH_# CH_u
吸引人	CH_si CH_i CH_# CH_i CH_n# CH_Zc CH_@ CH_n#
提供給	CH_t CH_i CH_g CH_o CH_N# CH_g CH_e CH_i
走過來	CH_dz CH_o CH_u CH_g CH_u CH_o CH_l CH_a CH_i
再下來	CH_dz CH_a CH_i CH_si CH_i CH_a CH_l CH_a CH_i
教科書	CH_dzi CH_i CH_a CH_u CH_k CH_@ CH_sc CH_u
代表性	CH_d CH_a CH_i CH_b CH_i CH_a CH_u CH_si CH_i CH_N#
文獻會	CH_# CH_u CH_@ CH_n# CH_si CH_i CH_E CH_n# CH_h CH_u CH_e CH_i
台北市	CH_t CH_a CH_i CH_b CH_e CH_i CH_sc CH_Uc #1
分公司	CH_f CH_@ CH_n# CH_g CH_o CH_N# CH_s CH_U
眼看到	CH_# CH_i CH_E CH_n# CH_k CH_a CH_n# CH_d CH_a CH_u
要不要	CH_# CH_i CH_a CH_u CH_b CH_u CH_# CH_i CH_a CH_u
發言人	CH_f CH_a CH_# CH_i CH_E CH_n# CH_Zc CH_@ CH_n#
注意到	CH_dzc CH_u CH_# CH_i CH_d CH_a CH_u
電視台	CH_d CH_i CH_E CH_n# CH_sc CH_Uc CH_t CH_a CH_i
聯合國	CH_l CH_i CH_E CH_n# CH_h CH_@ CH_g CH_u CH_o
安理會	CH_# CH_a CH_n# CH_l CH_i CH_h CH_u CH_e CH_i
巴格達	CH_b CH_a CH_g CH_@ CH_d CH_a
一連串	CH_# CH_i CH_l CH_i CH_E CH_n# CH_tsc CH_u CH_a CH_n#
看下去	CH_k CH_a CH_n# CH_si CH_i CH_a CH_tsi CH_y
約旦河	CH_# CH_y CH_E CH_d CH_a CH_n# CH_h CH_@
資訊系	CH_dz CH_U CH_si CH_y CH_n# CH_si CH_i
研究所	CH_# CH_i CH_E CH_n# CH_dzi CH_i CH_o CH_u CH_s CH_u CH_o
最基本	CH_dz CH_u CH_e CH_i CH_dzi CH_i CH_b CH_@ CH_n# #1
整理好	CH_dzc CH_@ CH_N# CH_l CH_i CH_h CH_a CH_u
感覺到	CH_g CH_a CH_n# CH_dzi CH_y CH_E CH_d CH_a CH_u
三十五	CH_s CH_a CH_n# CH_sc CH_Uc CH_# CH_u
現階段	CH_si CH_i CH_E CH_n# CH_dzi CH_i CH_E CH_d CH_u CH_a CH_n#
不得了	CH_b CH_u CH_d CH_@ CH_l CH_i CH_a CH_u
差不多	CH_tsc CH_a CH_b CH_u CH_d CH_u CH_o
想起來	CH_si CH_i CH_a CH_N# CH_tsi CH_i CH_l CH_a CH_i
一千萬	CH_# CH_i CH_tsi CH_i CH_E CH_n# CH_# CH_u CH_a CH_n#
一點零	CH_# CH_i CH_d CH_i CH_E CH_n# CH_l CH_i CH_N#
八點零	CH_b CH_a CH_d CH_i CH_E CH_n# CH_l CH_i CH_N#
所有人	CH_s CH_u CH_o CH_# CH_i CH_o CH_u CH_Zc CH_@ CH_n#
自發性	CH_dz CH_U CH_f CH_a CH_si CH_i CH_N#
不盡然	CH_b CH_u CH_dzi CH_i CH_n# CH_Zc CH_a CH_n#
錄音帶	CH_l CH_u CH_# CH_i CH_n# CH_d CH_a CH_i
無所謂	CH_# CH_u CH_s CH_u CH_o CH_# CH_u CH_e CH_i
目的地	CH_m CH_u CH_d CH_i CH_d CH_i
旅行社	CH_l CH_y CH_si CH_i CH_N# CH_sc CH_@
成功率	CH_tsc CH_@ CH_N# CH_g CH_o CH_N# CH_l CH_y
受不了	CH_sc CH_o CH_u CH_b CH_u CH_l CH_i CH_a CH_u
語言學	CH_# CH_y CH_# CH_i CH_E CH_n# CH_si CH_y CH_E
準備好	CH_dzc CH_u CH_@ CH_n# CH_b CH_e CH_i CH_h CH_a CH_u
閩南語	CH_m CH_i CH_n# CH_n CH_a CH_n# CH_# CH_y
國台語	CH_g CH_u CH_o CH_t CH_a CH_i CH_# CH_y
原住民	CH_# CH_y CH_E CH_n# CH_dzc CH_u CH_m CH_i CH_n#
日月潭	CH_Zc CH_Uc CH_# CH_y CH_E CH_t CH_a CH_n#
了不起	CH_l CH_i CH_a CH_u CH_b CH_u CH_tsi CH_i
中英文	CH_dzc CH_o CH_N# CH_# CH_i CH_N# CH_# CH_u CH_@ CH_n#
一會兒	CH_# CH_i CH_h CH_u CH_e CH_i CH_# CH_@c
一會兒	CH_# CH_i CH_h CH_u CH_@ CH_# CH_@c
東西向	CH_d CH_o CH_N# CH_si CH_i CH_si CH_i CH_a CH_N#
零點五	CH_l CH_i CH_N# CH_d CH_i CH_E CH_n# CH_# CH_u
牽涉到	CH_tsi CH_i CH_E CH_n# CH_sc CH_@ CH_d CH_a CH_u
趨近於	CH_tsi CH_y CH_dzi CH_i CH_n# CH_# CH_y
不應該	CH_b CH_u CH_# CH_i CH_N# CH_g CH_a CH_i
發出來	CH_f CH_a CH_tsc CH_u CH_l CH_a CH_i
演算法	CH_# CH_i CH_E CH_n# CH_s CH_u CH_a CH_n# CH_f CH_a
三十多	CH_s CH_a CH_n# CH_sc CH_Uc CH_d CH_u CH_o
五十多	CH_# CH_u CH_sc CH_Uc CH_d CH_u CH_o
一下子	CH_# CH_i CH_si CH_i CH_a CH_dz CH_U
英文字	CH_# CH_i CH_N# CH_# CH_u CH_@ CH_n# CH_dz CH_U
大多數	CH_d CH_a CH_d CH_u CH_o CH_sc CH_u
教務處	CH_dzi CH_i CH_a CH_u CH_# CH_u CH_tsc CH_u
七十七	CH_tsi CH_i CH_sc CH_Uc CH_tsi CH_i
拿出來	CH_n CH_a CH_tsc CH_u CH_l CH_a CH_i
十二點	CH_sc CH_Uc CH_# CH_@c CH_d CH_i CH_E CH_n#
通電話	CH_t CH_o CH_N# CH_d CH_i CH_E CH_n# CH_h CH_u CH_a
不外乎	CH_b CH_u CH_# CH_u CH_a CH_i CH_h CH_u
比起來	CH_b CH_i CH_tsi CH_i CH_l CH_a CH_i
心理學	CH_si CH_i CH_n# CH_l CH_i CH_si CH_y CH_E
二十六	CH_# CH_@c CH_sc CH_Uc CH_l CH_i CH_o CH_u
免不了	CH_m CH_i CH_E CH_n# CH_b CH_u CH_l CH_i CH_a CH_u
少一點	CH_sc CH_a CH_u CH_# CH_i CH_d CH_i CH_E CH_n#
五百萬	CH_# CH_u CH_b CH_a CH_i CH_# CH_u CH_a CH_n#
可能性	CH_k CH_@ CH_n CH_@ CH_N# CH_si CH_i CH_N#
十一號	CH_sc CH_Uc CH_# CH_i CH_h CH_a CH_u
二十一	CH_# CH_@c CH_sc CH_Uc CH_# CH_i
可行性	CH_k CH_@ CH_si CH_i CH_N# CH_si CH_i CH_N#
少不了	CH_sc CH_a CH_u CH_b CH_u CH_l CH_i CH_a CH_u
加進來	CH_dzi CH_i CH_a CH_dzi CH_i CH_n# CH_l CH_a CH_i
走過去	CH_dz CH_o CH_u CH_g CH_u CH_o CH_tsi CH_y
有意思	CH_# CH_i CH_o CH_u CH_# CH_i CH_s CH_U
工作量	CH_g CH_o CH_N# CH_dz CH_u CH_o CH_l CH_i CH_a CH_N#
考古題	CH_k CH_a CH_u CH_g CH_u CH_t CH_i
影響到	CH_# CH_i CH_N# CH_si CH_i CH_a CH_N# CH_d CH_a CH_u
二三五	CH_# CH_@c CH_s CH_a CH_n# CH_# CH_u
三十一	CH_s CH_a CH_n# CH_sc CH_Uc CH_# CH_i
寫出來	CH_si CH_i CH_E CH_tsc CH_u CH_l CH_a CH_i
走下來	CH_dz CH_o CH_u CH_si CH_i CH_a CH_l CH_a CH_i
九五年	CH_dzi CH_i CH_o CH_u CH_# CH_u CH_n CH_i CH_E CH_n#
發展到	CH_f CH_a CH_dzc CH_a CH_n# CH_d CH_a CH_u
組合成	CH_dz CH_u CH_h CH_@ CH_tsc CH_@ CH_N#
怎麼說	CH_dz CH_@ CH_n# CH_m CH_@ CH_sc CH_u CH_o
分散式	CH_f CH_@ CH_n# CH_s CH_a CH_n# CH_sc CH_Uc
雙聲帶	CH_sc CH_u CH_a CH_N# CH_sc CH_@ CH_N# CH_d CH_a CH_i
攝影機	CH_sc CH_@ CH_# CH_i CH_N# CH_dzi CH_i
十二年	CH_sc CH_Uc CH_# CH_@c CH_n CH_i CH_E CH_n#
十三年	CH_sc CH_Uc CH_s CH_a CH_n# CH_n CH_i CH_E CH_n#
動不動	CH_d CH_o CH_N# CH_b CH_u CH_d CH_o CH_N#
二十七	CH_# CH_@c CH_sc CH_Uc CH_tsi CH_i
接下來	CH_dzi CH_i CH_E CH_si CH_i CH_a CH_l CH_a CH_i
合起來	CH_h CH_@ CH_tsi CH_i CH_l CH_a CH_i
拿回來	CH_n CH_a CH_h CH_u CH_e CH_i CH_l CH_a CH_i
一一零	CH_# CH_i CH_# CH_i CH_l CH_i CH_N#
敏感度	CH_m CH_i CH_n# CH_g CH_a CH_n# CH_d CH_u
受限於	CH_sc CH_o CH_u CH_si CH_i CH_E CH_n# CH_# CH_y
有時候	CH_# CH_i CH_o CH_u CH_sc CH_Uc CH_h CH_o CH_u
不至於	CH_b CH_u CH_dzc CH_Uc CH_# CH_y
語音學	CH_# CH_y CH_# CH_i CH_n# CH_si CH_y CH_E
印出來	CH_# CH_i CH_n# CH_tsc CH_u CH_l CH_a CH_i
下工夫	CH_si CH_i CH_a CH_g CH_o CH_N# CH_f CH_u #1
美國人	CH_m CH_e CH_i CH_g CH_u CH_o CH_Zc CH_@ CH_n#
英國人	CH_# CH_i CH_N# CH_g CH_u CH_o CH_Zc CH_@ CH_n#
幾十萬	CH_dzi CH_i CH_sc CH_Uc CH_# CH_u CH_a CH_n#
四百多	CH_s CH_U CH_b CH_a CH_i CH_d CH_u CH_o
二十二	CH_# CH_@c CH_sc CH_Uc CH_# CH_@c
土耳其	CH_t CH_u CH_# CH_@c CH_tsi CH_i
八十四	CH_b CH_a CH_sc CH_Uc CH_s CH_U
算起來	CH_s CH_u CH_a CH_n# CH_tsi CH_i CH_l CH_a CH_i
三十七	CH_s CH_a CH_n# CH_sc CH_Uc CH_tsi CH_i
絕對的	CH_dzi CH_y CH_E CH_d CH_u CH_e CH_i CH_d CH_@
有助於	CH_# CH_i CH_o CH_u CH_dzc CH_u CH_# CH_y
六十一	CH_l CH_i CH_o CH_u CH_sc CH_Uc CH_# CH_i
重要性	CH_dzc CH_o CH_N# CH_# CH_i CH_a CH_u CH_si CH_i CH_N#
外國人	CH_# CH_u CH_a CH_i CH_g CH_u CH_o CH_Zc CH_@ CH_n#
二十四	CH_# CH_@c CH_sc CH_Uc CH_s CH_U
困難度	CH_k CH_u CH_@ CH_n# CH_n CH_a CH_n# CH_d CH_u
白話文	CH_b CH_a CH_i CH_h CH_u CH_a CH_# CH_u CH_@ CH_n#
三十八	CH_s CH_a CH_n# CH_sc CH_Uc CH_b CH_a
台灣人	CH_t CH_a CH_i CH_# CH_u CH_a CH_n# CH_Zc CH_@ CH_n#
禮拜天	CH_l CH_i CH_b CH_a CH_i CH_t CH_i CH_E CH_n#
工作站	CH_g CH_o CH_N# CH_dz CH_u CH_o CH_dzc CH_a CH_n#
程式碼	CH_tsc CH_@ CH_N# CH_sc CH_Uc CH_m CH_a
執行檔	CH_dzc CH_Uc CH_si CH_i CH_N# CH_d CH_a CH_N#
七十二	CH_tsi CH_i CH_sc CH_Uc CH_# CH_@c
二十八	CH_# CH_@c CH_sc CH_Uc CH_b CH_a
十一月	CH_sc CH_Uc CH_# CH_i CH_# CH_y CH_E
取出來	CH_tsi CH_y CH_tsc CH_u CH_l CH_a CH_i
玩意兒	CH_# CH_u CH_a CH_n# CH_# CH_i CH_@ CH_# CH_@c
玩意兒	CH_# CH_u CH_a CH_n# CH_# CH_i CH_# CH_@c
最大值	CH_dz CH_u CH_e CH_i CH_d CH_a CH_dzc CH_Uc
一點一	CH_# CH_i CH_d CH_i CH_E CH_n# CH_# CH_i
五點七	CH_# CH_u CH_d CH_i CH_E CH_n# CH_tsi CH_i
做不到	CH_dz CH_u CH_o CH_b CH_u CH_d CH_a CH_u
